Question ID,Question,Possible Responses
Q49,Please enter your full name,
Q50,Please enter your UCI email,
DEM1,What gender identity(ies) do you identify with? Select all that apply.,"Female, Male, Other, Prefer not to say"
DEM2,Which race(s) and ethnicities do you primarily identify with? - Selected Choice,"American Indian/Alaskan Native, Asian, Chinese/Chinese American, Filipino/Pilipino, Hispanic or Latino, Japanese/Japanese American, Korean/Korean American, Middle Eastern, Other, Pakistani/East Indian, Prefer not to state, Vietnamese/Vietnamese American, White"
DEM4,Do you currently work while taking classes?,"No, Prefer not to say, Yes"
CONF,"With your current skill set, how confident are you that you will get a job in the field(s) you are interested in?","Not confident, Somewhat confident, Very confident"
TPF,"Would you like to work on a front-end project (creating user interface for a website, designing layouts for a better user experience)?","Maybe, No, Yes"
FSPEC,Which of the following front-end projects would you like to be a part of? (mark all that apply),"Mobile, Not sure, Web"
TPB,"Would you like to work on a back-end project (writing application logic for a server with a web-based frontend component, creating APIs for others to access a service)?","Maybe, No, Yes"
TPI,"Would you like to work on an implementation-based project (writing algorithms to solve a specific problem for a standalone program, not web-based)?","Maybe, No, Yes"
ISPEC,Which of the following implementation-based projects would you like to be a part of? (mark all that apply),"Data science, Databases, ML/AI, Network systems, Not sure"
LPREF,Are you interested in being a team lead?,"No, No preference, Yes"
SS1_1,Rank your communication skills - Written/verbal communication,"0, 1, 2, 3"
SS2_1,Rank your teamwork skills - Collaboration/teamwork,"0, 1, 2, 3"
SS3_1,Rank your leadership skills based on your confidence - Leadership,"0, 1, 2, 3"
SS3_NUM,How many projects (academic or non-academic) have you been part of where you have been the lead?,Int
SS4_1,Rank your adaptability - Adaptability/resilience,"0, 1, 2, 3"
F1_1,How familiar are you with UI/UX design? - Familiarity level,"0, 1, 2, 3"
F2,Are you interested in the cybersecurity aspect of this field?,"No, No preference, Yes"
WEB1_1,How familiar are you with HTML? - Familiarity level,"0.0, 1.0, 2.0, 3.0"
WEB2_1,How familiar are you with CSS? - Familiarity level,"0.0, 1.0, 2.0, 3.0"
WEB3_1,How familiar are you with JavaScript? - Familiarity level,"0.0, 1.0, 2.0, 3.0"
WEB4_1,How familiar are you with any of the following front-end frameworks? - React,"0.0, 1.0, 2.0, 3.0"
WEB4_2,How familiar are you with any of the following front-end frameworks? - Angular,"0.0, 1.0, 2.0, 3.0"
WEB4_3,How familiar are you with any of the following front-end frameworks? - Vue.js,"0.0, 1.0, 2.0, 3.0"
WEB4_4,How familiar are you with any of the following front-end frameworks? - Other (please specify),"0.0, 1.0, 2.0, 3.0"
